Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year
22,1,W,pt Porto,13.0,7.0,6.0,1.0,20.0,12.0,8.0,27.0,2004
9,2,F,fr Monaco,13.0,6.0,4.0,4.0,27.0,19.0,8.0,22.0,2004
25,3,SF,eng Chelsea,14.0,8.0,4.0,2.0,21.0,10.0,11.0,28.0,2004
10,4,SF,es La Coruña,14.0,7.0,3.0,4.0,20.0,17.0,3.0,24.0,2004
21,5,QF,es Real Madrid,10.0,6.0,3.0,1.0,18.0,11.0,7.0,21.0,2004
5,6,QF,eng Arsenal,10.0,5.0,2.0,3.0,16.0,11.0,5.0,17.0,2004
29,7,QF,it Milan,10.0,5.0,2.0,3.0,12.0,9.0,3.0,17.0,2004
1,8,QF,fr Lyon,10.0,5.0,2.0,3.0,11.0,11.0,0.0,17.0,2004
17,9,R16,eng Manchester Utd,8.0,5.0,1.0,2.0,15.0,5.0,10.0,16.0,2004
6,10,R16,ru Loko Moscow,10.0,4.0,2.0,4.0,12.0,11.0,1.0,14.0,2004
13,11,R16,it Juventus,8.0,4.0,1.0,3.0,15.0,8.0,7.0,13.0,2004
18,12,R16,de Stuttgart,8.0,4.0,1.0,3.0,9.0,7.0,2.0,13.0,2004
26,13,R16,cz Sparta Prague,10.0,3.0,4.0,3.0,11.0,13.0,-2.0,13.0,2004
30,14,R16,es Celta Vigo,10.0,3.0,3.0,4.0,12.0,13.0,-1.0,12.0,2004
2,15,R16,de Bayern Munich,8.0,2.0,4.0,2.0,7.0,7.0,0.0,10.0,2004
14,16,R16,es Real Sociedad,8.0,2.0,3.0,3.0,8.0,10.0,-2.0,9.0,2004
3,17,GR,sct Celtic,10.0,6.0,1.0,3.0,18.0,7.0,11.0,19.0,2004
4,18,GR,be Anderlecht,10.0,5.0,2.0,3.0,11.0,9.0,2.0,17.0,2004
8,19,GR,ua Dynamo Kyiv,8.0,4.0,1.0,3.0,13.0,9.0,4.0,13.0,2004
15,20,GR,tr Galatasaray,8.0,4.0,1.0,3.0,12.0,8.0,4.0,13.0,2004
28,21,GR,it Lazio,8.0,3.0,2.0,3.0,10.0,11.0,-1.0,11.0,2004
31,22,GR,be Club Brugge,8.0,3.0,2.0,3.0,8.0,9.0,-1.0,11.0,2004
11,23,GR,nl PSV Eindhoven,6.0,3.0,1.0,2.0,8.0,7.0,1.0,10.0,2004
